level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
188,188,1785108,2020-09-03,Pennsylvania,Philadelphia,700 block of E Chelten Ave,0,6,https://www.gunviolencearchive.org/incident/1785108,2020,09-2020
189,189,1785593,2020-09-03,Arkansas,Little Rock,19 Nandina Cir,0,4,https://www.gunviolencearchive.org/incident/1785593,2020,09-2020
190,190,1783582,2020-09-02,Pennsylvania,Philadelphia,1800 block of Moore St,2,2,https://www.gunviolencearchive.org/incident/1783582,2020,09-2020
191,191,1784141,2020-09-02,Georgia,Albany,1400 block of E Residence Ave,1,3,https://www.gunviolencearchive.org/incident/1784141,2020,09-2020
192,192,1783928,2020-09-02,California,Oakland,Kerwin Ave and 105th Ave,0,4,https://www.gunviolencearchive.org/incident/1783928,2020,09-2020
193,193,1825993,2020-08-31,Pennsylvania,Philadelphia,1500 block of W Clearfield St,0,5,https://www.gunviolencearchive.org/incident/1825993,2020,08-2020
194,194,1782962,2020-08-31,Florida,Tallahassee,2660 Old Bainbridge Rd,0,4,https://www.gunviolencearchive.org/incident/1782962,2020,08-2020
195,195,1780301,2020-08-30,Kentucky,Lexington,545 N Upper St,0,7,https://www.gunviolencearchive.org/incident/1780301,2020,08-2020
196,196,1780199,2020-08-30,Illinois,Zion,2300 block of Joppa Ave,1,3,https://www.gunviolencearchive.org/incident/1780199,2020,08-2020
197,197,1780266,2020-08-30,Texas,San Antonio,S Olive St and Aransas Ave,2,2,https://www.gunviolencearchive.org/incident/1780266,2020,08-2020
198,198,1779981,2020-08-30,New York,Buffalo,500 block of Fillmore Ave,1,4,https://www.gunviolencearchive.org/incident/1779981,2020,08-2020
199,199,1784122,2020-08-30,Pennsylvania,Philadelphia,5317 Oxford Ave,0,4,https://www.gunviolencearchive.org/incident/1784122,2020,08-2020
200,200,1779718,2020-08-30,Illinois,Chicago,11601 S Western Ave,1,4,https://www.gunviolencearchive.org/incident/1779718,2020,08-2020
201,201,1780091,2020-08-30,Kentucky,Madisonville,400 block of Elm St,0,5,https://www.gunviolencearchive.org/incident/1780091,2020,08-2020
202,202,1780228,2020-08-29,Nevada,Las Vegas,777 E Twain Ave,2,2,https://www.gunviolencearchive.org/incident/1780228,2020,08-2020
203,203,1778571,2020-08-29,Illinois,Rock Island,1800 2nd Ave,1,5,https://www.gunviolencearchive.org/incident/1778571,2020,08-2020
204,204,1778435,2020-08-28,Minnesota,Minneapolis,2400 block of Irving Ave N,0,4,https://www.gunviolencearchive.org/incident/1778435,2020,08-2020
205,205,1778542,2020-08-28,Pennsylvania,Chester,2900 block of W 2nd St,1,3,https://www.gunviolencearchive.org/incident/1778542,2020,08-2020
206,206,1779023,2020-08-28,Texas,Dallas,2600 block of Elm St,1,4,https://www.gunviolencearchive.org/incident/1779023,2020,08-2020
207,207,1777607,2020-08-27,Oregon,Portland,10500 block of NE Halsey St,1,3,https://www.gunviolencearchive.org/incident/1777607,2020,08-2020
208,208,1777180,2020-08-26,Michigan,Pontiac,252 Carriage Circle Dr,3,1,https://www.gunviolencearchive.org/incident/1777180,2020,08-2020
