level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
0,0,271363,2014-12-29,Louisiana,New Orleans,Poydras and Bolivar,0,4,https://www.gunviolencearchive.org/incident/271363,2014,12-2014
1,1,269679,2014-12-27,California,Los Angeles,8800 block of South Figueroa Street,1,3,https://www.gunviolencearchive.org/incident/269679,2014,12-2014
2,2,270036,2014-12-27,California,Sacramento,4000 block of May Street,0,4,https://www.gunviolencearchive.org/incident/270036,2014,12-2014
3,3,269167,2014-12-26,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,https://www.gunviolencearchive.org/incident/269167,2014,12-2014
4,4,268598,2014-12-24,Missouri,Saint Louis,18th and Pine,1,3,https://www.gunviolencearchive.org/incident/268598,2014,12-2014
5,5,267792,2014-12-23,Kentucky,Winchester,260 Oxford Drive,1,3,https://www.gunviolencearchive.org/incident/267792,2014,12-2014
6,6,268282,2014-12-22,Michigan,Detroit,Charlevoix and Philip,1,3,https://www.gunviolencearchive.org/incident/268282,2014,12-2014
7,7,282186,2014-12-22,New York,Webster,191 Lake Rd,4,2,https://www.gunviolencearchive.org/incident/282186,2014,12-2014
8,8,267721,2014-12-22,Illinois,Chicago,5700 block of South Green Street,0,5,https://www.gunviolencearchive.org/incident/267721,2014,12-2014
9,9,266570,2014-12-21,Florida,Sarasota,4034 N Washington Blvd,2,2,https://www.gunviolencearchive.org/incident/266570,2014,12-2014
10,10,268910,2014-12-21,Mississippi,Waynesboro,Central Avenue,1,4,https://www.gunviolencearchive.org/incident/268910,2014,12-2014
11,11,266424,2014-12-21,Illinois,Calumet City,600 block of Escanba,1,8,https://www.gunviolencearchive.org/incident/266424,2014,12-2014
12,12,266407,2014-12-20,Illinois,Rockford,3200 block of Montrose Avenue,4,0,https://www.gunviolencearchive.org/incident/266407,2014,12-2014
13,13,264901,2014-12-16,New Jersey,Elizabeth,Anna Street,0,4,https://www.gunviolencearchive.org/incident/264901,2014,12-2014
14,14,263556,2014-12-15,Pennsylvania,Lansdale,100 block of West 5th St,7,0,https://www.gunviolencearchive.org/incident/263556,2014,12-2014
15,15,263376,2014-12-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4,https://www.gunviolencearchive.org/incident/263376,2014,12-2014
16,16,263382,2014-12-13,Florida,Tampa,810 E. Skagway Ave.,0,5,https://www.gunviolencearchive.org/incident/263382,2014,12-2014
17,17,262202,2014-12-12,Oregon,Portland,717 North Killingsworth Court,0,4,https://www.gunviolencearchive.org/incident/262202,2014,12-2014
18,18,259935,2014-12-07,Indiana,South Bend,16000 block of Roosevelt Road,0,4,https://www.gunviolencearchive.org/incident/259935,2014,12-2014
19,19,227011,2014-12-02,Missouri,Saint Louis,6000 block of Virginia Avenue,1,5,https://www.gunviolencearchive.org/incident/227011,2014,12-2014
20,20,226983,2014-12-02,Virginia,Newport News,6128 Jefferson Ave ,0,5,https://www.gunviolencearchive.org/incident/226983,2014,12-2014
21,21,226388,2014-11-30,New York,Brooklyn,375 Remsen Avenue,0,4,https://www.gunviolencearchive.org/incident/226388,2014,11-2014
22,22,226534,2014-11-30,Tennessee,Chattanooga,2412 East 13th Street ,0,5,https://www.gunviolencearchive.org/incident/226534,2014,11-2014
23,23,225903,2014-11-29,Georgia,Atlanta,1600 block of Richmond Avenue,3,2,https://www.gunviolencearchive.org/incident/225903,2014,11-2014
24,24,226150,2014-11-29,New Jersey,Newark,348 S Orange Ave,1,3,https://www.gunviolencearchive.org/incident/226150,2014,11-2014
25,25,225830,2014-11-28,Tennessee,Memphis,1849 East Brooks Road ,0,4,https://www.gunviolencearchive.org/incident/225830,2014,11-2014
26,26,226018,2014-11-27,Texas,Georgetown,Pvt Rd 934,2,3,https://www.gunviolencearchive.org/incident/226018,2014,11-2014
27,27,225036,2014-11-26,California,San Francisco,Mission and 13th streets,0,6,https://www.gunviolencearchive.org/incident/225036,2014,11-2014
28,28,224362,2014-11-23,Virginia,Parksley,Parksley Road,0,4,https://www.gunviolencearchive.org/incident/224362,2014,11-2014
29,29,224131,2014-11-23,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,https://www.gunviolencearchive.org/incident/224131,2014,11-2014
30,30,223651,2014-11-22,Ohio,Cleveland,1443 E 92nd St,4,1,https://www.gunviolencearchive.org/incident/223651,2014,11-2014
31,31,223799,2014-11-22,South Dakota,Sisseton,Fourth Avenue,4,1,https://www.gunviolencearchive.org/incident/223799,2014,11-2014
32,32,223729,2014-11-22,Ohio,Springfield,Clifton Avenue and Rice Street,1,3,https://www.gunviolencearchive.org/incident/223729,2014,11-2014
33,33,223582,2014-11-21,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,https://www.gunviolencearchive.org/incident/223582,2014,11-2014
34,34,222792,2014-11-19,Illinois,Chicago,700 block of North St. Louis Avenue,1,3,https://www.gunviolencearchive.org/incident/222792,2014,11-2014
35,35,222393,2014-11-18,Nevada,North Las Vegas,Englestad Street,0,4,https://www.gunviolencearchive.org/incident/222393,2014,11-2014
36,36,221554,2014-11-16,Ohio,Akron,1891 E Market St,1,4,https://www.gunviolencearchive.org/incident/221554,2014,11-2014
37,37,224746,2014-11-16,Texas,El Paso,115 S. Durango,0,6,https://www.gunviolencearchive.org/incident/224746,2014,11-2014
38,38,221347,2014-11-15,Missouri,Springfield,2555 N. Glenstone,4,0,https://www.gunviolencearchive.org/incident/221347,2014,11-2014
39,39,221577,2014-11-15,Florida,Miami,NW 55th and 12th,1,3,https://www.gunviolencearchive.org/incident/221577,2014,11-2014
40,40,217831,2014-11-08,California,Pomona,499 E. Arrow Highway,0,5,https://www.gunviolencearchive.org/incident/217831,2014,11-2014
41,41,217401,2014-11-07,California,Compton,136th Street ,0,4,https://www.gunviolencearchive.org/incident/217401,2014,11-2014
42,42,218054,2014-11-07,California,Los Angeles,East 126th Street and North Compton Avenue,0,4,https://www.gunviolencearchive.org/incident/218054,2014,11-2014
43,43,216533,2014-11-05,California,San Francisco,1100 block of Alabama Street ,0,4,https://www.gunviolencearchive.org/incident/216533,2014,11-2014
44,44,212884,2014-10-29,Tennessee,Memphis,Yale Road and Ramill Road,0,5,https://www.gunviolencearchive.org/incident/212884,2014,10-2014
45,45,211348,2014-10-26,Kentucky,Cadiz,1410 Old Dover Road,4,0,https://www.gunviolencearchive.org/incident/211348,2014,10-2014
46,46,210363,2014-10-24,Washington,Marysville,5611 108th St NE,5,1,https://www.gunviolencearchive.org/incident/210363,2014,10-2014
47,47,209134,2014-10-18,New York,Queens,33-02 Queens Blvd,0,4,https://www.gunviolencearchive.org/incident/209134,2014,10-2014
48,48,207145,2014-10-18,South Carolina,Graniteville,192 Breezy Hill Road,1,3,https://www.gunviolencearchive.org/incident/207145,2014,10-2014
49,49,207687,2014-10-18,New York,Brooklyn,Lenox Road,0,4,https://www.gunviolencearchive.org/incident/207687,2014,10-2014
50,50,206303,2014-10-16,Michigan,Detroit,Mogul Street,1,3,https://www.gunviolencearchive.org/incident/206303,2014,10-2014
51,51,205726,2014-10-14,Georgia,Peachtree Corners,6505 Bannor Lane,3,2,https://www.gunviolencearchive.org/incident/205726,2014,10-2014
52,52,205298,2014-10-13,Georgia,Atlanta,85 Mount Zion Road,0,4,https://www.gunviolencearchive.org/incident/205298,2014,10-2014
53,53,204477,2014-10-12,Georgia,Atlanta,Arthur Langford Jr Place,1,3,https://www.gunviolencearchive.org/incident/204477,2014,10-2014
54,54,204310,2014-10-12,California,Stockton,1100 block of East March Lane,3,1,https://www.gunviolencearchive.org/incident/204310,2014,10-2014
55,55,204236,2014-10-11,New York,Utica,222 Bleecker Street,0,5,https://www.gunviolencearchive.org/incident/204236,2014,10-2014
56,56,202981,2014-10-08,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,https://www.gunviolencearchive.org/incident/202981,2014,10-2014
57,57,204254,2014-10-08,New York,Guilderland,1846 Western Ave,4,0,https://www.gunviolencearchive.org/incident/204254,2014,10-2014
58,58,201630,2014-10-05,Florida,Jacksonville,7300 block of Linda Drive,3,1,https://www.gunviolencearchive.org/incident/201630,2014,10-2014
59,59,201052,2014-10-05,Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,https://www.gunviolencearchive.org/incident/201052,2014,10-2014
60,60,201648,2014-10-04,Tennessee,Memphis,1400 block of Gherald Street,2,2,https://www.gunviolencearchive.org/incident/201648,2014,10-2014
61,61,201502,2014-10-04,California,Pomona,1925 West Holt Avenue ,0,4,https://www.gunviolencearchive.org/incident/201502,2014,10-2014
62,62,198051,2014-09-29,South Carolina,Walterboro,29 Sandy Dam Lane,1,7,https://www.gunviolencearchive.org/incident/198051,2014,09-2014
63,63,198527,2014-09-29,California,Fresno,2300 block of West Fountain Way ,0,4,https://www.gunviolencearchive.org/incident/198527,2014,09-2014
