level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
0,0,1582816,2019-12-29,Illinois,Danville,1803 block of Westview Ave,0,5,https://www.gunviolencearchive.org/incident/1582816,2019,12-2019
1,1,1582197,2019-12-29,New York,Buffalo,50 block of Henrietta Ave,1,3,https://www.gunviolencearchive.org/incident/1582197,2019,12-2019
2,2,1583444,2019-12-29,California,Ceres,800 block of Allacante Dr,0,5,https://www.gunviolencearchive.org/incident/1583444,2019,12-2019
3,3,1581590,2019-12-27,California,Modesto,1900 block of Vernon Ave,1,3,https://www.gunviolencearchive.org/incident/1581590,2019,12-2019
4,4,1581103,2019-12-27,Texas,Houston,500 block of Smart St,2,7,https://www.gunviolencearchive.org/incident/1581103,2019,12-2019
5,5,1581476,2019-12-27,Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,https://www.gunviolencearchive.org/incident/1581476,2019,12-2019
6,6,1580308,2019-12-26,Florida,Saint Petersburg,4300 6th St S,0,5,https://www.gunviolencearchive.org/incident/1580308,2019,12-2019
7,7,1579889,2019-12-25,California,Oakland,2100 block of 34th Ave,0,4,https://www.gunviolencearchive.org/incident/1579889,2019,12-2019
8,8,1579970,2019-12-25,Iowa,Coralville,954 Boston Way,1,3,https://www.gunviolencearchive.org/incident/1579970,2019,12-2019
9,9,1579856,2019-12-25,Virginia,Richmond,1800 E Main St,1,3,https://www.gunviolencearchive.org/incident/1579856,2019,12-2019
10,10,1579266,2019-12-24,Louisiana,New Orleans,6400 block of General Meyer Ave,0,4,https://www.gunviolencearchive.org/incident/1579266,2019,12-2019
11,11,1594317,2019-12-24,Illinois,Joliet,1200 block of Cutter Ave,0,5,https://www.gunviolencearchive.org/incident/1594317,2019,12-2019
12,12,1579220,2019-12-24,North Carolina,High Point,1226 Montlieu Ave,0,6,https://www.gunviolencearchive.org/incident/1579220,2019,12-2019
13,13,1577577,2019-12-22,Maryland,Baltimore,225 Park Ave,0,7,https://www.gunviolencearchive.org/incident/1577577,2019,12-2019
14,14,1577688,2019-12-22,Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,https://www.gunviolencearchive.org/incident/1577688,2019,12-2019
15,15,1577518,2019-12-22,Illinois,Chicago,5700 block of S May St,0,13,https://www.gunviolencearchive.org/incident/1577518,2019,12-2019
16,16,1578711,2019-12-21,Louisiana,Edgard,2555 LA-18,0,4,https://www.gunviolencearchive.org/incident/1578711,2019,12-2019
17,17,1577046,2019-12-20,Mississippi,Waynesboro,Turner St,1,6,https://www.gunviolencearchive.org/incident/1577046,2019,12-2019
18,18,1577438,2019-12-20,Alabama,Tuskegee,2900 block of Davison St,2,2,https://www.gunviolencearchive.org/incident/1577438,2019,12-2019
19,19,1575175,2019-12-18,Texas,San Antonio,2418 SW Military Dr,0,4,https://www.gunviolencearchive.org/incident/1575175,2019,12-2019
20,20,1573754,2019-12-17,Montana,Great Falls,1701 10th Ave S,4,1,https://www.gunviolencearchive.org/incident/1573754,2019,12-2019
21,21,1572275,2019-12-15,Georgia,Columbus,600 block of 32nd St,1,4,https://www.gunviolencearchive.org/incident/1572275,2019,12-2019
22,22,1573471,2019-12-14,California,Ivanhoe,15700 block of Paradise Ave,0,4,https://www.gunviolencearchive.org/incident/1573471,2019,12-2019
23,23,1571348,2019-12-12,Missouri,Saint Louis (Moline Acres),9900 block of Lewis and Clark Blvd,1,3,https://www.gunviolencearchive.org/incident/1571348,2019,12-2019
24,24,1568230,2019-12-10,New Jersey,Jersey City,223 Martin Luther King Dr,6,3,https://www.gunviolencearchive.org/incident/1568230,2019,12-2019
25,25,1567932,2019-12-08,Texas,Desoto,200 block of W Wintergreen Rd,2,3,https://www.gunviolencearchive.org/incident/1567932,2019,12-2019
26,26,1567231,2019-12-08,Louisiana,New Orleans,3801 Washington Ave,1,4,https://www.gunviolencearchive.org/incident/1567231,2019,12-2019
27,27,1565216,2019-12-06,Florida,Pensacola,280 Taylor Rd,4,8,https://www.gunviolencearchive.org/incident/1565216,2019,12-2019
28,28,1564524,2019-12-04,Alabama,Montgomery,500 Eastdale Rd S,2,2,https://www.gunviolencearchive.org/incident/1564524,2019,12-2019
29,29,1562685,2019-12-01,Michigan,Kalamazoo,6300 block of Proctor St,1,3,https://www.gunviolencearchive.org/incident/1562685,2019,12-2019
30,30,1562043,2019-12-01,Louisiana,Cotton Valley,116 Hawthorne Loop,2,3,https://www.gunviolencearchive.org/incident/1562043,2019,12-2019
31,31,1561966,2019-12-01,Louisiana,New Orleans,2000 block of N Dorgenois St,2,2,https://www.gunviolencearchive.org/incident/1561966,2019,12-2019
32,32,1561813,2019-12-01,Illinois,Aurora,700 block of S 5th St,1,4,https://www.gunviolencearchive.org/incident/1561813,2019,12-2019
33,33,1561734,2019-12-01,Louisiana,New Orleans,700 block of Canal St,0,12,https://www.gunviolencearchive.org/incident/1561734,2019,12-2019
34,34,1561398,2019-11-30,Arkansas,Hensley,6500 block of E Sardis Rd,0,5,https://www.gunviolencearchive.org/incident/1561398,2019,11-2019
35,35,1560645,2019-11-29,Texas,Amarillo,2650 Dumas Dr,0,7,https://www.gunviolencearchive.org/incident/1560645,2019,11-2019
36,36,1559257,2019-11-27,New York,Bronx,E 153rd St and Courtlandt Ave,0,5,https://www.gunviolencearchive.org/incident/1559257,2019,11-2019
37,37,1558067,2019-11-25,Florida,Brownsville,NW 29th Ave and 44th St,2,2,https://www.gunviolencearchive.org/incident/1558067,2019,11-2019
38,38,1557006,2019-11-24,Alabama,Birmingham,7 15th St W,1,4,https://www.gunviolencearchive.org/incident/1557006,2019,11-2019
39,39,1556633,2019-11-24,California,Los Angeles,100 block of E 11th St,0,6,https://www.gunviolencearchive.org/incident/1556633,2019,11-2019
40,40,1556984,2019-11-24,Louisiana,Cottonport,3846 LA-29,2,2,https://www.gunviolencearchive.org/incident/1556984,2019,11-2019
41,41,1555879,2019-11-23,California,Los Angeles,833 S Spring St,0,4,https://www.gunviolencearchive.org/incident/1555879,2019,11-2019
42,42,1556002,2019-11-23,Louisiana,Tallulah,Depot St,1,6,https://www.gunviolencearchive.org/incident/1556002,2019,11-2019
43,43,1555135,2019-11-21,California,Long Beach,1100 block of 10th St,0,5,https://www.gunviolencearchive.org/incident/1555135,2019,11-2019
44,44,1554807,2019-11-21,Washington,Everett,120 West Casino Rd,0,4,https://www.gunviolencearchive.org/incident/1554807,2019,11-2019
45,45,1554446,2019-11-20,California,Richmond,20th St and Roosevelt Ave,0,4,https://www.gunviolencearchive.org/incident/1554446,2019,11-2019
46,46,1552068,2019-11-18,New Jersey,Newark,139 S 8th St,1,4,https://www.gunviolencearchive.org/incident/1552068,2019,11-2019
47,47,1551531,2019-11-17,California,Fresno,5361 E Lamona Ave,4,6,https://www.gunviolencearchive.org/incident/1551531,2019,11-2019
48,48,1551162,2019-11-17,Ohio,Cleveland,7100 block of Lawn Ave,0,4,https://www.gunviolencearchive.org/incident/1551162,2019,11-2019
49,49,1550546,2019-11-16,California,San Diego,2152 Flintridge Dr,6,0,https://www.gunviolencearchive.org/incident/1550546,2019,11-2019
50,50,1548689,2019-11-14,California,Santa Clarita,21900 Centurion Way,3,3,https://www.gunviolencearchive.org/incident/1548689,2019,11-2019
51,51,1547021,2019-11-11,Florida,Belle Glade,SW 7th St,0,4,https://www.gunviolencearchive.org/incident/1547021,2019,11-2019
52,52,1546102,2019-11-10,Missouri,Kansas City,4704 Independence Ave,0,4,https://www.gunviolencearchive.org/incident/1546102,2019,11-2019
53,53,1546038,2019-11-10,Tennessee,Memphis,2080 E. Brooks Rd,1,4,https://www.gunviolencearchive.org/incident/1546038,2019,11-2019
54,54,1546155,2019-11-10,Arkansas,Little Rock,3000 block of W 12th St,0,4,https://www.gunviolencearchive.org/incident/1546155,2019,11-2019
55,55,1545955,2019-11-09,Michigan,Detroit,3800 block of E McNichols Rd,0,4,https://www.gunviolencearchive.org/incident/1545955,2019,11-2019
56,56,1546508,2019-11-09,Georgia,Vidalia,Wiggins St,0,4,https://www.gunviolencearchive.org/incident/1546508,2019,11-2019
57,57,1545027,2019-11-08,North Carolina,Raleigh,503 Bragg St,1,3,https://www.gunviolencearchive.org/incident/1545027,2019,11-2019
58,58,1543835,2019-11-07,Georgia,Conyers,1800 block of Green St,2,3,https://www.gunviolencearchive.org/incident/1543835,2019,11-2019
59,59,1541774,2019-11-04,Texas,Houston,5000 block of Northridge Dr,1,4,https://www.gunviolencearchive.org/incident/1541774,2019,11-2019
60,60,1540863,2019-11-03,Ohio,Toledo,600 block of Magnolia St,0,4,https://www.gunviolencearchive.org/incident/1540863,2019,11-2019
61,61,1540841,2019-11-03,Texas,Nacogdoches,Sandyland Cir and CR 823,1,3,https://www.gunviolencearchive.org/incident/1540841,2019,11-2019
62,62,1540280,2019-11-02,Louisiana,Baton Rouge,137 Taylor St,0,4,https://www.gunviolencearchive.org/incident/1540280,2019,11-2019
63,63,1540240,2019-11-02,Michigan,Detroit,7000 block of E. Kirby,1,4,https://www.gunviolencearchive.org/incident/1540240,2019,11-2019
64,64,1539572,2019-11-01,Arizona,Tolleson,2434 S 86th Ln,0,5,https://www.gunviolencearchive.org/incident/1539572,2019,11-2019
65,65,1539557,2019-11-01,Texas,San Angelo,1616 S Chadbourne St,0,4,https://www.gunviolencearchive.org/incident/1539557,2019,11-2019
66,66,1539347,2019-10-31,California,Orinda,114 Lucille Way,5,3,https://www.gunviolencearchive.org/incident/1539347,2019,10-2019
67,67,1537992,2019-10-30,Pennsylvania,Philadelphia,5026 Walton Ave,4,0,https://www.gunviolencearchive.org/incident/1537992,2019,10-2019
68,68,1537044,2019-10-29,Maryland,Baltimore,4700 block of Liberty Heights Ave,1,3,https://www.gunviolencearchive.org/incident/1537044,2019,10-2019
69,69,1537672,2019-10-29,California,Long Beach,2709 E 7th St,3,9,https://www.gunviolencearchive.org/incident/1537672,2019,10-2019
70,70,1536787,2019-10-28,Maryland,Baltimore,4160 Pimlico Rd,1,3,https://www.gunviolencearchive.org/incident/1536787,2019,10-2019
71,71,1536706,2019-10-27,Michigan,Detroit,East Outer Dr and Helen St,0,4,https://www.gunviolencearchive.org/incident/1536706,2019,10-2019
72,72,1535629,2019-10-27,Michigan,Lansing,Balfour Dr and W Miller Rd,1,4,https://www.gunviolencearchive.org/incident/1535629,2019,10-2019
73,73,1535478,2019-10-26,Texas,Greenville,2275 US-380,2,6,https://www.gunviolencearchive.org/incident/1535478,2019,10-2019
74,74,1534704,2019-10-24,Oklahoma,Oklahoma City,1900 block of NW 12th St,2,2,https://www.gunviolencearchive.org/incident/1534704,2019,10-2019
75,75,1533166,2019-10-22,Oklahoma,Oklahoma City (Midwest City),7020 E Green Ave,1,3,https://www.gunviolencearchive.org/incident/1533166,2019,10-2019
76,76,1531326,2019-10-21,South Carolina,Sumter,29 Wesmark Blvd,0,4,https://www.gunviolencearchive.org/incident/1531326,2019,10-2019
77,77,1530965,2019-10-20,Texas,Port Arthur,1100 block of Vicksburg Ave,1,3,https://www.gunviolencearchive.org/incident/1530965,2019,10-2019
78,78,1530407,2019-10-19,Pennsylvania,Duquesne,600 block of Priscilla Ave,0,4,https://www.gunviolencearchive.org/incident/1530407,2019,10-2019
79,79,1530276,2019-10-19,Texas,El Paso,3812 Truman Ave,1,4,https://www.gunviolencearchive.org/incident/1530276,2019,10-2019
80,80,1527528,2019-10-15,Ohio,Columbus,1600 block of Manchester Ave,0,4,https://www.gunviolencearchive.org/incident/1527528,2019,10-2019
81,81,1525999,2019-10-13,Pennsylvania,Philadelphia,W Clearfield St and N 8th St,0,6,https://www.gunviolencearchive.org/incident/1525999,2019,10-2019
82,82,1526952,2019-10-13,Ohio,Akron,Main St,0,4,https://www.gunviolencearchive.org/incident/1526952,2019,10-2019
83,83,1525062,2019-10-12,New York,Brooklyn,75 Utica Ave,4,3,https://www.gunviolencearchive.org/incident/1525062,2019,10-2019
84,84,1525476,2019-10-12,Illinois,Chicago,6733 W Irving Park Rd,5,0,https://www.gunviolencearchive.org/incident/1525476,2019,10-2019
85,85,1525408,2019-10-12,Pennsylvania,Philadelphia,700 block of W Russell St,1,3,https://www.gunviolencearchive.org/incident/1525408,2019,10-2019
86,86,1525628,2019-10-12,Maryland,Baltimore,800 block of W Lexington St,1,3,https://www.gunviolencearchive.org/incident/1525628,2019,10-2019
87,87,1525265,2019-10-12,Michigan,Eastpointe,15163 E 10 Mile Rd,1,5,https://www.gunviolencearchive.org/incident/1525265,2019,10-2019
88,88,1523606,2019-10-10,Florida,Tampa,5410 N Falkenburg Rd,2,2,https://www.gunviolencearchive.org/incident/1523606,2019,10-2019
