level_0,index,incident_id,incident_date,state,city_or_country,address,killed,injured,incident_url,year,month-year
0,0,1017372,2017-12-31,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,https://www.gunviolencearchive.org/incident/1017372,2017,12-2017
1,1,1017422,2017-12-31,Illinois,Chicago,2335 Howard St,0,4,https://www.gunviolencearchive.org/incident/1017422,2017,12-2017
2,2,1018118,2017-12-31,New Jersey,Long Branch,635 Wall St,4,0,https://www.gunviolencearchive.org/incident/1018118,2017,12-2017
3,3,1015666,2017-12-27,Nevada,Las Vegas,3750 E Bonanza Rd,2,2,https://www.gunviolencearchive.org/incident/1015666,2017,12-2017
4,4,1015336,2017-12-26,Florida,Miami,NW 18th Ave and 86th Ter,0,5,https://www.gunviolencearchive.org/incident/1015336,2017,12-2017
5,5,1013983,2017-12-24,Mississippi,Vicksburg,1111 Mulberry Street,0,5,https://www.gunviolencearchive.org/incident/1013983,2017,12-2017
6,6,1014052,2017-12-24,Alabama,Troy,100 block of Chapman St,1,4,https://www.gunviolencearchive.org/incident/1014052,2017,12-2017
7,7,1014971,2017-12-23,Louisiana,Eunice,100 block of City Avenue,1,3,https://www.gunviolencearchive.org/incident/1014971,2017,12-2017
8,8,1013377,2017-12-23,Alabama,Birmingham,3rd Ave N and 9th St N,0,4,https://www.gunviolencearchive.org/incident/1013377,2017,12-2017
9,9,1011953,2017-12-21,Pennsylvania,Philadelphia,6600 block of Dorel St,1,3,https://www.gunviolencearchive.org/incident/1011953,2017,12-2017
10,10,1012704,2017-12-21,Louisiana,Lafayette,1500 block of N University Avenue,0,4,https://www.gunviolencearchive.org/incident/1012704,2017,12-2017
11,11,1009629,2017-12-16,Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,https://www.gunviolencearchive.org/incident/1009629,2017,12-2017
12,12,1008310,2017-12-15,California,Pacoima,13041 Jouett Street,0,5,https://www.gunviolencearchive.org/incident/1008310,2017,12-2017
13,13,1007054,2017-12-13,Ohio,Columbus,200 block of E Barthman Ave,1,3,https://www.gunviolencearchive.org/incident/1007054,2017,12-2017
14,14,1006150,2017-12-12,Kentucky,Louisville,17th and Gallagher Streets,0,4,https://www.gunviolencearchive.org/incident/1006150,2017,12-2017
15,15,1006446,2017-12-12,Texas,Garland,1301 Rivercrest Ln,0,4,https://www.gunviolencearchive.org/incident/1006446,2017,12-2017
16,16,1004454,2017-12-09,Massachusetts,Boston,Proctor St,0,4,https://www.gunviolencearchive.org/incident/1004454,2017,12-2017
17,17,1002514,2017-12-06,Illinois,Chicago,4620 N Broadway,0,4,https://www.gunviolencearchive.org/incident/1002514,2017,12-2017
18,18,1001566,2017-12-04,Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,https://www.gunviolencearchive.org/incident/1001566,2017,12-2017
19,19,1000479,2017-12-03,Tennessee,Memphis,656 Marshall Ave,1,3,https://www.gunviolencearchive.org/incident/1000479,2017,12-2017
20,20,999969,2017-12-02,Michigan,Detroit,5200 Woodward Avenue,0,4,https://www.gunviolencearchive.org/incident/999969,2017,12-2017
21,21,998843,2017-11-30,Michigan,Detroit,11000 block of Gunston,1,4,https://www.gunviolencearchive.org/incident/998843,2017,11-2017
