level_0,index,incident_id,incident_date,state,city_or_country,address,killed,injured,incident_url,year,month-year
0,0,476321,2015-12-31,Louisiana,New Orleans,1900 block of Amelia Street,0,6,https://www.gunviolencearchive.org/incident/476321,2015,12-2015
1,1,473882,2015-12-27,Tennessee,Jackson,North Parkway,0,4,https://www.gunviolencearchive.org/incident/473882,2015,12-2015
2,2,472268,2015-12-26,Pennsylvania,Philadelphia,4210 Macalester St,0,4,https://www.gunviolencearchive.org/incident/472268,2015,12-2015
3,3,471867,2015-12-25,Florida,Jacksonville,Franklin and Odessa,0,4,https://www.gunviolencearchive.org/incident/471867,2015,12-2015
4,4,471860,2015-12-25,Alabama,Mobile,785 Schillinger Rd S,0,4,https://www.gunviolencearchive.org/incident/471860,2015,12-2015
5,5,469468,2015-12-21,California,San Leandro,14600 block of East 14th Street,0,4,https://www.gunviolencearchive.org/incident/469468,2015,12-2015
6,6,468968,2015-12-20,North Carolina,Wilmington,11th and Castle Street,1,4,https://www.gunviolencearchive.org/incident/468968,2015,12-2015
7,7,469614,2015-12-20,Florida,North Miami Beach,NE 167th St and NE 6th Ave,0,4,https://www.gunviolencearchive.org/incident/469614,2015,12-2015
8,8,468787,2015-12-19,Florida,Miami,21630 SW 120th Ave,1,4,https://www.gunviolencearchive.org/incident/468787,2015,12-2015
9,9,464665,2015-12-13,California,Los Angeles,5550 S. Flower Street,1,3,https://www.gunviolencearchive.org/incident/464665,2015,12-2015
10,10,464945,2015-12-13,California,Huntington Beach,17000 block of Keelson Lane,0,4,https://www.gunviolencearchive.org/incident/464945,2015,12-2015
11,11,465117,2015-12-12,Illinois,Lovejoy (Brooklyn),307 Jefferson St,1,3,https://www.gunviolencearchive.org/incident/465117,2015,12-2015
12,12,464002,2015-12-12,Georgia,Savannah,Whitaker Street,0,4,https://www.gunviolencearchive.org/incident/464002,2015,12-2015
13,13,463642,2015-12-11,Maryland,Baltimore,5100 block of Park Heights Avenue,1,3,https://www.gunviolencearchive.org/incident/463642,2015,12-2015
14,14,463734,2015-12-11,Pennsylvania,Pittsburgh,1222 Brownsville Rd,0,4,https://www.gunviolencearchive.org/incident/463734,2015,12-2015
15,15,461476,2015-12-08,Ohio,Cincinnati,2300 block of Baltimore Ave,1,3,https://www.gunviolencearchive.org/incident/461476,2015,12-2015
16,16,460049,2015-12-06,Louisiana,Raceland,Market Street,1,3,https://www.gunviolencearchive.org/incident/460049,2015,12-2015
17,17,460386,2015-12-06,Nebraska,Omaha,North 108th Street and Military Road,2,3,https://www.gunviolencearchive.org/incident/460386,2015,12-2015
18,18,456893,2015-12-02,California,San Bernardino,1365 South Waterman Ave,16,19,https://www.gunviolencearchive.org/incident/456893,2015,12-2015
19,19,457037,2015-12-02,Georgia,Savannah,100 block of West 33rd Street,1,3,https://www.gunviolencearchive.org/incident/457037,2015,12-2015
20,20,455394,2015-11-29,Illinois,Kankakee,648 E Court St,0,5,https://www.gunviolencearchive.org/incident/455394,2015,11-2015
21,21,454059,2015-11-27,Colorado,Colorado Springs,3480 Centennial Blvd,3,9,https://www.gunviolencearchive.org/incident/454059,2015,11-2015
22,22,455684,2015-11-27,California,Sacramento,7900 block of Florin Road,2,2,https://www.gunviolencearchive.org/incident/455684,2015,11-2015
23,23,454788,2015-11-24,South Carolina,Conway,1321 Colletta Ct,0,4,https://www.gunviolencearchive.org/incident/454788,2015,11-2015
24,24,452120,2015-11-23,Minnesota,Minneapolis,Morgan Avenue North,0,5,https://www.gunviolencearchive.org/incident/452120,2015,11-2015
25,25,452007,2015-11-23,Ohio,Columbus,90 block of S Terrace Ave,4,1,https://www.gunviolencearchive.org/incident/452007,2015,11-2015
26,26,453317,2015-11-22,Texas,Brownsville,1800 block of FM 802,0,4,https://www.gunviolencearchive.org/incident/453317,2015,11-2015
27,27,451338,2015-11-22,Washington,Seattle,Broadway and Pike,0,4,https://www.gunviolencearchive.org/incident/451338,2015,11-2015
28,28,451305,2015-11-22,New York,Newburgh,203 Broadway,0,5,https://www.gunviolencearchive.org/incident/451305,2015,11-2015
29,29,452362,2015-11-22,South Carolina,North Charleston,Park Circle,1,3,https://www.gunviolencearchive.org/incident/452362,2015,11-2015
30,30,451349,2015-11-22,Illinois,Chicago,4100 block of West Roosevelt,0,4,https://www.gunviolencearchive.org/incident/451349,2015,11-2015
31,31,451495,2015-11-22,Louisiana,New Orleans,1900 block of Gallier St,0,17,https://www.gunviolencearchive.org/incident/451495,2015,11-2015
32,32,451057,2015-11-21,Maryland,Baltimore,Stricker and School,1,3,https://www.gunviolencearchive.org/incident/451057,2015,11-2015
33,33,450505,2015-11-20,Pennsylvania,Pittsburgh,Prospect Drive,1,3,https://www.gunviolencearchive.org/incident/450505,2015,11-2015
34,34,449814,2015-11-18,California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5,https://www.gunviolencearchive.org/incident/449814,2015,11-2015
