level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
224,224,2107467,2021-09-03,Louisiana,New Iberia,927 S Lewis St,1,3,https://www.gunviolencearchive.org/incident/2107467,2021,09-2021
225,225,2107198,2021-09-02,New York,Niagara Falls,336 19th St,0,4,https://www.gunviolencearchive.org/incident/2107198,2021,09-2021
226,226,2104725,2021-08-31,North Carolina,Elm City,3500 block of London Church Rd,2,2,https://www.gunviolencearchive.org/incident/2104725,2021,08-2021
227,227,2104181,2021-08-30,Illinois,Normal,2000 block of Lambert Dr,3,3,https://www.gunviolencearchive.org/incident/2104181,2021,08-2021
228,228,2103256,2021-08-29,Tennessee,Nashville,2621 Jefferson St,0,5,https://www.gunviolencearchive.org/incident/2103256,2021,08-2021
229,229,2102991,2021-08-29,Nevada,Las Vegas,1750 S Rainbow Blvd,1,3,https://www.gunviolencearchive.org/incident/2102991,2021,08-2021
230,230,2103311,2021-08-29,Wisconsin,Milwaukee,N 41st St and W Lloyd St,0,4,https://www.gunviolencearchive.org/incident/2103311,2021,08-2021
231,231,2103132,2021-08-28,New York,Albany,Sherman St and Henry Johnson Blvd,0,5,https://www.gunviolencearchive.org/incident/2103132,2021,08-2021
232,232,2103035,2021-08-28,California,San Diego,3100 block of Mission Blvd,0,4,https://www.gunviolencearchive.org/incident/2103035,2021,08-2021
233,233,2102694,2021-08-28,Illinois,Chicago,2800 block of W 12th Pl,0,4,https://www.gunviolencearchive.org/incident/2102694,2021,08-2021
234,234,2101199,2021-08-27,California,Los Angeles,8400 block of Fountain Ave,0,4,https://www.gunviolencearchive.org/incident/2101199,2021,08-2021
235,235,2101774,2021-08-27,West Virginia,Huntington,300 block of Oney Ave,2,2,https://www.gunviolencearchive.org/incident/2101774,2021,08-2021
236,236,2102082,2021-08-27,Pennsylvania,Sharon Hill,300 Calcon Hook Rd,1,4,https://www.gunviolencearchive.org/incident/2102082,2021,08-2021
237,237,2100578,2021-08-26,Minnesota,Minneapolis,3006 Lyndale Ave,0,7,https://www.gunviolencearchive.org/incident/2100578,2021,08-2021
238,238,2098246,2021-08-23,Illinois,Chicago,W Wilson Ave and N Sheridan Rd,0,4,https://www.gunviolencearchive.org/incident/2098246,2021,08-2021
