level_0,index,incident_id,incident_date,state,city_or_country,address,killed,injured,incident_url,year,month-year
0,0,1289686,2018-12-31,Ohio,Cleveland,4462 Denison Ave,3,2,https://www.gunviolencearchive.org/incident/1289686,2018,12-2018
1,1,1288376,2018-12-29,Ohio,Lima,904 S Main St,1,3,https://www.gunviolencearchive.org/incident/1288376,2018,12-2018
2,2,1287286,2018-12-28,Missouri,Saint Charles,150 Whetstone Dr,4,1,https://www.gunviolencearchive.org/incident/1287286,2018,12-2018
3,3,1284586,2018-12-24,Louisiana,Lutcher,2176 Main St,2,2,https://www.gunviolencearchive.org/incident/1284586,2018,12-2018
4,4,1283229,2018-12-23,Missouri,Springfield,1042 W College St,1,6,https://www.gunviolencearchive.org/incident/1283229,2018,12-2018
5,5,1282704,2018-12-22,Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,https://www.gunviolencearchive.org/incident/1282704,2018,12-2018
6,6,1279617,2018-12-18,Maryland,Baltimore,3942 Park Heights Ave,0,5,https://www.gunviolencearchive.org/incident/1279617,2018,12-2018
7,7,1277327,2018-12-15,Florida,Miami,239 NW 16th St,0,5,https://www.gunviolencearchive.org/incident/1277327,2018,12-2018
8,8,1277411,2018-12-14,Colorado,Colorado Springs,700 block of Geiger Ct,1,3,https://www.gunviolencearchive.org/incident/1277411,2018,12-2018
9,9,1276091,2018-12-13,Pennsylvania,Philadelphia,4505 N Broad St,0,4,https://www.gunviolencearchive.org/incident/1276091,2018,12-2018
10,10,1276298,2018-12-11,Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,https://www.gunviolencearchive.org/incident/1276298,2018,12-2018
11,11,1272855,2018-12-09,Wisconsin,Madison,3554 E Washington Ave,0,4,https://www.gunviolencearchive.org/incident/1272855,2018,12-2018
12,12,1273161,2018-12-08,California,Inglewood,801 S Inglewood Ave,0,5,https://www.gunviolencearchive.org/incident/1273161,2018,12-2018
13,13,1272106,2018-12-08,New York,Corona (Queens),89-25 130th St,0,5,https://www.gunviolencearchive.org/incident/1272106,2018,12-2018
14,14,1267682,2018-12-01,Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,https://www.gunviolencearchive.org/incident/1267682,2018,12-2018
15,15,1266937,2018-11-26,Tennessee,Powell,Tammy Dr,0,4,https://www.gunviolencearchive.org/incident/1266937,2018,11-2018
16,16,1262814,2018-11-25,Alabama,Demopolis,Floyd St and Field St,2,2,https://www.gunviolencearchive.org/incident/1262814,2018,11-2018
17,17,1263332,2018-11-25,California,Oakland,1000 block of 24th St,0,4,https://www.gunviolencearchive.org/incident/1263332,2018,11-2018
18,18,1263086,2018-11-25,Texas,Houston,4500 block of Yale St,1,3,https://www.gunviolencearchive.org/incident/1263086,2018,11-2018
19,19,1262013,2018-11-23,Florida,Miami,5801 NW 27th Ave,2,5,https://www.gunviolencearchive.org/incident/1262013,2018,11-2018
20,20,1261351,2018-11-22,Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,https://www.gunviolencearchive.org/incident/1261351,2018,11-2018
21,21,1260525,2018-11-21,Missouri,Saint Louis,4200 block of Shreve Ave,0,4,https://www.gunviolencearchive.org/incident/1260525,2018,11-2018
22,22,1258777,2018-11-19,Colorado,Denver,1200 21st Street,1,4,https://www.gunviolencearchive.org/incident/1258777,2018,11-2018
23,23,1258804,2018-11-19,Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,https://www.gunviolencearchive.org/incident/1258804,2018,11-2018
24,24,1258009,2018-11-18,California,Los Angeles (Watts),95th St and Defiance Ave,1,4,https://www.gunviolencearchive.org/incident/1258009,2018,11-2018
25,25,1257508,2018-11-16,Arkansas,Little Rock,4405 W 14th St,3,1,https://www.gunviolencearchive.org/incident/1257508,2018,11-2018
26,26,1256435,2018-11-14,Louisiana,Baton Rouge,4896 Gus Young Ave,3,1,https://www.gunviolencearchive.org/incident/1256435,2018,11-2018
27,27,1254225,2018-11-13,New Mexico,Gallup,CR 1 and Defiance Draw Rd,4,1,https://www.gunviolencearchive.org/incident/1254225,2018,11-2018
28,28,1254084,2018-11-12,North Carolina,Dunn,4640 Woods Crossroads Rd,3,1,https://www.gunviolencearchive.org/incident/1254084,2018,11-2018
29,29,1253361,2018-11-11,Arizona,Globe,598 N Broad St,3,1,https://www.gunviolencearchive.org/incident/1253361,2018,11-2018
30,30,1249561,2018-11-07,California,Thousand Oaks,99 Rolling Oaks Dr,13,2,https://www.gunviolencearchive.org/incident/1249561,2018,11-2018
31,31,1246727,2018-11-03,New York,Watertown,136 Franklin St,0,5,https://www.gunviolencearchive.org/incident/1246727,2018,11-2018
32,32,1247019,2018-11-02,California,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4,https://www.gunviolencearchive.org/incident/1247019,2018,11-2018
33,33,1246489,2018-11-02,Florida,Tallahassee,1950 Thomasville Rd,3,4,https://www.gunviolencearchive.org/incident/1246489,2018,11-2018
34,34,1245703,2018-11-01,Minnesota,Minneapolis,3400 block of Girard Ave N,0,5,https://www.gunviolencearchive.org/incident/1245703,2018,11-2018
35,35,1245274,2018-11-01,Missouri,Springfield,906 E Locust St,3,2,https://www.gunviolencearchive.org/incident/1245274,2018,11-2018
36,36,1244754,2018-10-31,Michigan,Detroit,19000 block of Langholm St,1,3,https://www.gunviolencearchive.org/incident/1244754,2018,10-2018
37,37,1246059,2018-10-30,California,Vallejo,Woodrow Ave and Reis Ave,2,3,https://www.gunviolencearchive.org/incident/1246059,2018,10-2018
38,38,1244424,2018-10-30,California,Los Angeles,65th Place and Vermont Avenue,0,5,https://www.gunviolencearchive.org/incident/1244424,2018,10-2018
39,39,1243331,2018-10-29,California,Riverside,3252 Mission Inn Ave,0,7,https://www.gunviolencearchive.org/incident/1243331,2018,10-2018
40,40,1243010,2018-10-28,Arkansas,El Dorado,2 Whites Quarters,2,2,https://www.gunviolencearchive.org/incident/1243010,2018,10-2018
41,41,1242807,2018-10-27,Tennessee,Memphis,4275 Lady Slipper Ln,0,5,https://www.gunviolencearchive.org/incident/1242807,2018,10-2018
42,42,1241819,2018-10-27,Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7,https://www.gunviolencearchive.org/incident/1241819,2018,10-2018
43,43,1242443,2018-10-26,New Jersey,Jersey City,77 Brinkerhoff St,1,3,https://www.gunviolencearchive.org/incident/1242443,2018,10-2018
44,44,1240751,2018-10-24,Illinois,Chicago,6200 block of S King Dr,0,5,https://www.gunviolencearchive.org/incident/1240751,2018,10-2018
45,45,1238603,2018-10-22,Illinois,Chicago,9231 S Cottage Grove Av,0,6,https://www.gunviolencearchive.org/incident/1238603,2018,10-2018
46,46,1237930,2018-10-21,Florida,Jacksonville,900 block of A Philip Randolph Blvd,1,5,https://www.gunviolencearchive.org/incident/1237930,2018,10-2018
47,47,1238052,2018-10-21,Washington,Lakewood,8722 S Tacoma Way,1,3,https://www.gunviolencearchive.org/incident/1238052,2018,10-2018
48,48,1234087,2018-10-16,Georgia,Atlanta,Broad St,0,4,https://www.gunviolencearchive.org/incident/1234087,2018,10-2018
49,49,1233663,2018-10-15,Tennessee,Columbia,1075 Carters Creek Pike,5,0,https://www.gunviolencearchive.org/incident/1233663,2018,10-2018
50,50,1232554,2018-10-14,Texas,Fort Worth,5310 E Rosedale St,0,4,https://www.gunviolencearchive.org/incident/1232554,2018,10-2018
51,51,1233563,2018-10-14,Nevada,Las Vegas,2815 W Lake Mead Blvd,3,1,https://www.gunviolencearchive.org/incident/1233563,2018,10-2018
52,52,1233068,2018-10-14,California,Palo Alto (East Palo Alto),2500 block of Pulgas Ave,2,2,https://www.gunviolencearchive.org/incident/1233068,2018,10-2018
53,53,1232288,2018-10-13,Texas,Taft,511 Wilburn St,4,1,https://www.gunviolencearchive.org/incident/1232288,2018,10-2018
54,54,1232018,2018-10-13,Missouri,Saint Louis,400 block of Midlothian Road,0,4,https://www.gunviolencearchive.org/incident/1232018,2018,10-2018
55,55,1232044,2018-10-12,South Carolina,Spartanburg,1620 John B White Sr Blvd,0,6,https://www.gunviolencearchive.org/incident/1232044,2018,10-2018
