level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
0,0,740447,2016-12-31,Georgia,Lenox (El Dorado),27 Briarwood Ct,2,2,https://www.gunviolencearchive.org/incident/740447,2016,12-2016
1,1,738749,2016-12-31,Texas,Houston,3704 Fannin Street,1,3,https://www.gunviolencearchive.org/incident/738749,2016,12-2016
2,2,738041,2016-12-30,Ohio,Mansfield,3230 Possum Run Rd,0,5,https://www.gunviolencearchive.org/incident/738041,2016,12-2016
3,3,738576,2016-12-30,Connecticut,Wallingford,95 S Turnpike Rd,2,3,https://www.gunviolencearchive.org/incident/738576,2016,12-2016
4,4,736690,2016-12-28,Georgia,Columbus,2914 10th Street,1,4,https://www.gunviolencearchive.org/incident/736690,2016,12-2016
5,5,734157,2016-12-25,Illinois,Chicago,8600 block of S Maryland Ave,3,4,https://www.gunviolencearchive.org/incident/734157,2016,12-2016
6,6,735947,2016-12-25,Alabama,Ozark,858 US-231,0,4,https://www.gunviolencearchive.org/incident/735947,2016,12-2016
7,7,733599,2016-12-25,New York,Mount Vernon,4 North 3rd Avenue,1,5,https://www.gunviolencearchive.org/incident/733599,2016,12-2016
8,8,732927,2016-12-24,North Carolina,Madison,490 K Ford Rd,0,7,https://www.gunviolencearchive.org/incident/732927,2016,12-2016
9,9,733176,2016-12-24,North Carolina,Wilson,2241 Banks Lane East,4,0,https://www.gunviolencearchive.org/incident/733176,2016,12-2016
10,10,732263,2016-12-23,Alabama,Birmingham,3813 Richard Arrington Boulevard North,1,3,https://www.gunviolencearchive.org/incident/732263,2016,12-2016
11,11,732574,2016-12-23,Illinois,Chicago,4900 block of W Hubbard,0,4,https://www.gunviolencearchive.org/incident/732574,2016,12-2016
12,12,727759,2016-12-17,Illinois,Chicago (Roseland),100 block of W 105th St,5,0,https://www.gunviolencearchive.org/incident/727759,2016,12-2016
13,13,728286,2016-12-17,North Carolina,Charlotte,4115 N. Tryon Street,0,4,https://www.gunviolencearchive.org/incident/728286,2016,12-2016
14,14,727555,2016-12-16,Illinois,Chicago,13th and South Kedzie,0,4,https://www.gunviolencearchive.org/incident/727555,2016,12-2016
15,15,727544,2016-12-16,Illinois,Chicago,4300 block of South Rockwell,2,2,https://www.gunviolencearchive.org/incident/727544,2016,12-2016
16,16,724667,2016-12-12,California,Sacramento,4800 block of Myrtle Avenue,1,3,https://www.gunviolencearchive.org/incident/724667,2016,12-2016
17,17,723649,2016-12-11,New York,Brooklyn,192 Knickerbocker Ave,0,4,https://www.gunviolencearchive.org/incident/723649,2016,12-2016
18,18,723643,2016-12-11,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,https://www.gunviolencearchive.org/incident/723643,2016,12-2016
19,19,723292,2016-12-11,Maryland,Baltimore,3916 South Hanover Street,0,5,https://www.gunviolencearchive.org/incident/723292,2016,12-2016
20,20,725338,2016-12-11,North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4,https://www.gunviolencearchive.org/incident/725338,2016,12-2016
21,21,725323,2016-12-09,Texas,Channelview,15300 block of Market,4,0,https://www.gunviolencearchive.org/incident/725323,2016,12-2016
22,22,722452,2016-12-09,California,Fresno,842 Fresno Street,0,4,https://www.gunviolencearchive.org/incident/722452,2016,12-2016
23,23,719128,2016-12-05,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,https://www.gunviolencearchive.org/incident/719128,2016,12-2016
24,24,717873,2016-12-03,California,Los Angeles,91st Street and Western Avenue,0,6,https://www.gunviolencearchive.org/incident/717873,2016,12-2016
25,25,717616,2016-12-02,New Jersey,Bloomfield,3 1st Ave,0,6,https://www.gunviolencearchive.org/incident/717616,2016,12-2016
26,26,716001,2016-12-01,California,Clearlake Oaks,Pomo Rd,1,3,https://www.gunviolencearchive.org/incident/716001,2016,12-2016
27,27,715101,2016-11-30,Maryland,Baltimore,2901 Garrison Blvd,2,4,https://www.gunviolencearchive.org/incident/715101,2016,11-2016
28,28,712796,2016-11-28,Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3,https://www.gunviolencearchive.org/incident/712796,2016,11-2016
29,29,712776,2016-11-28,California,Wilmington,1067 McDonald Avenue,0,4,https://www.gunviolencearchive.org/incident/712776,2016,11-2016
30,30,713445,2016-11-28,California,San Pedro,300 block of West 2nd Street,0,4,https://www.gunviolencearchive.org/incident/713445,2016,11-2016
31,31,711597,2016-11-27,Louisiana,New Orleans,100 block of Bourbon Street,1,9,https://www.gunviolencearchive.org/incident/711597,2016,11-2016
32,32,711744,2016-11-27,Missouri,Kansas City,Gregory and Prospect,0,7,https://www.gunviolencearchive.org/incident/711744,2016,11-2016
33,33,710732,2016-11-26,Illinois,Chicago,8800 block of S Exchange Ave,1,5,https://www.gunviolencearchive.org/incident/710732,2016,11-2016
34,34,710467,2016-11-25,Louisiana,New Orleans,Magnolia St and Felicity St,0,4,https://www.gunviolencearchive.org/incident/710467,2016,11-2016
35,35,709370,2016-11-24,Kentucky,Louisville,4501 W Broadway,2,4,https://www.gunviolencearchive.org/incident/709370,2016,11-2016
36,36,709276,2016-11-24,New York,Albany,77 Central Ave,1,3,https://www.gunviolencearchive.org/incident/709276,2016,11-2016
37,37,708777,2016-11-23,Mississippi,Olive Branch,928 Cross Road,0,4,https://www.gunviolencearchive.org/incident/708777,2016,11-2016
38,38,708392,2016-11-22,Florida,Clewiston,1068 Harlem Academy Ave,1,4,https://www.gunviolencearchive.org/incident/708392,2016,11-2016
39,39,704568,2016-11-18,Illinois,Chicago,5000 block of W Wabansia,0,4,https://www.gunviolencearchive.org/incident/704568,2016,11-2016
40,40,703245,2016-11-17,Tennessee,Dyersburg,160 Longfellow,1,7,https://www.gunviolencearchive.org/incident/703245,2016,11-2016
41,41,699605,2016-11-13,Florida,Jacksonville,5105 Cleveland Rd,3,2,https://www.gunviolencearchive.org/incident/699605,2016,11-2016
