incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year
480882,2013-10-05,New York,Buffalo,102 Zelmer Street,0,4,https://www.gunviolencearchive.org/incident/480882,2013
480961,2013-10-06,Pennsylvania,Philadelphia,54th St. and Florence Ave,1,5,https://www.gunviolencearchive.org/incident/480961,2013
480897,2013-10-06,Arizona,Avondale,11120 W Van Buren St,0,4,https://www.gunviolencearchive.org/incident/480897,2013
480981,2013-10-09,Texas,Paris,400 block of NE 6th Street,4,0,https://www.gunviolencearchive.org/incident/480981,2013
481029,2013-10-12,Oklahoma,Tulsa,12000 E 31st St,0,5,https://www.gunviolencearchive.org/incident/481029,2013
481043,2013-10-13,Pennsylvania,Harrisburg,1524 Walnut St,0,8,https://www.gunviolencearchive.org/incident/481043,2013
481254,2013-10-20,Florida,Margate,7400 block of Santa Monica Drive,0,4,https://www.gunviolencearchive.org/incident/481254,2013
481263,2013-10-20,Florida,Miami,19600 block of Southwest 168th Street,2,2,https://www.gunviolencearchive.org/incident/481263,2013
481268,2013-10-21,Pennsylvania,Pittsburgh (Homewood),7200 block of Kelly Street,2,5,https://www.gunviolencearchive.org/incident/481268,2013
481419,2013-10-26,Florida,Miami Gardens,NW 187 Street and 30 Avenue,0,4,https://www.gunviolencearchive.org/incident/481419,2013
492366,2013-10-26,Connecticut,New Haven,85 Saint John St,1,5,https://www.gunviolencearchive.org/incident/492366,2013
492427,2013-10-27,Texas,Beaumont,500 block of Edgemore Drive,0,4,https://www.gunviolencearchive.org/incident/492427,2013
492699,2013-10-27,California,Roseville,6th Street and Hampton,0,4,https://www.gunviolencearchive.org/incident/492699,2013
492393,2013-10-27,North Carolina,Southern Pines,115 Turner St,1,4,https://www.gunviolencearchive.org/incident/492393,2013
492570,2013-10-27,California,Vallejo,200 block of Princeton Avenue,1,6,https://www.gunviolencearchive.org/incident/492570,2013
492914,2013-10-29,South Carolina,Bradley (Callison),Callison Highway,5,0,https://www.gunviolencearchive.org/incident/492914,2013
492933,2013-11-02,Kentucky,Radcliff,355 Shelby Avenue,1,3,https://www.gunviolencearchive.org/incident/492933,2013
492985,2013-11-03,California,Perris,2900 block of Perris Boulevard,0,5,https://www.gunviolencearchive.org/incident/492985,2013
492950,2013-11-03,California,Los Angeles,1 World Way,1,3,https://www.gunviolencearchive.org/incident/492950,2013
